flyid,name,sugarR_200Hz_x30
720575940612603289,,0.8666666666666667
720575940641585627,,0.8333333333333334
720575940644968215,,0.8
720575940643551392,,0.7333333333333333
720575940637902938,,0.7333333333333333
720575940629667639,,0.7333333333333333
720575940629393207,,0.7333333333333333
720575940623862015,,0.7333333333333333
720575940623886008,,0.7333333333333333
720575940633434208,,0.7333333333333333
720575940625779075,,0.7333333333333333
720575940612154339,,0.7333333333333333
720575940631575327,,0.7333333333333333
720575940631267409,,0.7333333333333333
720575940628695043,,0.7333333333333333
720575940629377132,,0.7333333333333333
720575940605420902,,0.6333333333333333
720575940624163303,trident,0.6333333333333333
720575940626478082,,0.6333333333333333
720575940635166571,bluebell_1,0.5666666666666667
720575940614386070,,0.5333333333333333
720575940639785379,,0.5
720575940621519130,,0.5
720575940632354641,,0.4666666666666667
720575940630695798,,0.43333333333333335
720575940614909506,,0.4
720575940631967506,,0.4
720575940610058052,,0.36666666666666664
720575940621573542,tundra_1,0.36666666666666664
720575940630839371,,0.36666666666666664
720575940618800064,,0.3333333333333333
720575940628129129,planter_2,0.2
720575940626860421,,0.2
720575940630548751,hyacinth_6,0.16666666666666666
720575940628029180,sink_sync_3,0.13333333333333333
720575940627113544,,0.13333333333333333
720575940626456081,,0.13333333333333333
720575940624710653,broom_1,0.1
720575940626163658,,0.1
720575940620001360,,0.1
720575940625852464,,0.1
720575940623614442,,0.06666666666666667
720575940607387314,,0.06666666666666667
720575940630461404,,0.06666666666666667
720575940614465478,,0.06666666666666667
720575940639813365,,0.06666666666666667
720575940608188427,,0.06666666666666667
720575940637216624,mist_2,0.06666666666666667
720575940610173048,,0.03333333333333333
720575940615036319,,0.03333333333333333
720575940634782359,,0.03333333333333333
720575940623718380,G2N_1_1,0.03333333333333333
720575940617497437,planter_1,0.03333333333333333
720575940618291520,,0.03333333333333333
720575940629783852,,0.03333333333333333
